ts_code,trade_date,open,close,high,low,volume,amount,pct_chg,adjust_type
000816.SZ,2025-09-22,3.21,3.18,3.21,3.14,328563.0,104087406.56,-0.93,qfq
000816.SZ,2025-09-23,3.17,3.06,3.18,3.03,565843.0,174156726.0,-3.77,qfq
000816.SZ,2025-09-24,3.11,3.09,3.12,3.06,291443.0,90007119.5,0.98,qfq
000816.SZ,2025-09-25,3.09,3.07,3.11,3.06,274381.0,84541715.36,-0.65,qfq
000816.SZ,2025-09-26,3.07,3.09,3.11,3.05,261764.0,80874290.55,0.65,qfq
000816.SZ,2025-09-29,3.09,3.09,3.09,3.02,247314.0,75729407.68,0.0,qfq
000816.SZ,2025-09-30,3.09,3.09,3.1,3.07,212540.0,65653694.0,0.0,qfq
000816.SZ,2025-10-09,3.1,3.18,3.19,3.1,397771.0,125303690.79,2.91,qfq
000816.SZ,2025-10-10,3.16,3.18,3.2,3.14,306739.0,97385075.66,0.0,qfq
000816.SZ,2025-10-13,3.14,3.2,3.22,3.11,402256.0,127990728.42,0.63,qfq
000816.SZ,2025-10-14,3.24,3.26,3.3,3.22,592239.0,193307145.99,1.88,qfq
000816.SZ,2025-10-15,3.26,3.32,3.32,3.24,544110.0,179680669.96,1.84,qfq
000816.SZ,2025-10-16,3.32,3.25,3.32,3.22,515106.0,167871210.0,-2.11,qfq
000816.SZ,2025-10-17,3.25,3.2,3.3,3.19,366743.0,118839911.08,-1.54,qfq
000816.SZ,2025-10-20,3.22,3.28,3.34,3.18,570191.0,186115437.94,2.5,qfq
000816.SZ,2025-10-21,3.3,3.33,3.34,3.28,433098.0,143300463.52,1.52,qfq
000816.SZ,2025-10-22,3.31,3.32,3.37,3.29,325103.0,108051942.3,-0.3,qfq
000816.SZ,2025-10-23,3.31,3.39,3.39,3.28,525778.0,175420000.42,2.11,qfq
000816.SZ,2025-10-24,3.38,3.53,3.73,3.31,2340558.0,839310542.65,4.13,qfq
000816.SZ,2025-10-27,3.43,3.4,3.47,3.34,1754484.0,594651564.84,-3.68,qfq
000816.SZ,2025-10-28,3.44,3.37,3.45,3.34,890184.0,301061230.62,-0.88,qfq
000816.SZ,2025-10-29,3.34,3.3,3.36,3.27,653749.0,215233057.01,-2.08,qfq
000816.SZ,2025-10-30,3.29,3.22,3.3,3.21,575998.0,186880396.28,-2.42,qfq
000816.SZ,2025-10-31,3.21,3.23,3.28,3.21,387093.0,125611101.7,0.31,qfq
000816.SZ,2025-11-03,3.25,3.32,3.33,3.24,498017.0,163623616.31,2.79,qfq
000816.SZ,2025-11-04,3.3,3.32,3.32,3.28,412010.0,135951759.19,0.0,qfq
000816.SZ,2025-11-05,3.29,3.38,3.39,3.27,526369.0,176926599.16,1.81,qfq
000816.SZ,2025-11-06,3.38,3.38,3.42,3.35,382853.0,129410346.53,0.0,qfq
000816.SZ,2025-11-07,3.38,3.42,3.44,3.37,446826.0,152578966.41,1.18,qfq
000816.SZ,2025-11-10,3.44,3.49,3.54,3.43,636012.0,221686053.52,2.05,qfq
000816.SZ,2025-11-11,3.47,3.56,3.71,3.45,1149196.0,411719465.72,2.01,qfq
000816.SZ,2025-11-12,3.6,3.56,3.62,3.51,778631.0,277152612.55,0.0,qfq
000816.SZ,2025-11-13,3.56,3.6,3.6,3.53,532507.0,190404732.52,1.12,qfq
000816.SZ,2025-11-14,3.58,3.55,3.62,3.55,481896.0,172619804.02,-1.39,qfq
000816.SZ,2025-11-17,3.56,3.61,3.62,3.55,442712.0,159034044.0,1.69,qfq
000816.SZ,2025-11-18,3.61,3.51,3.61,3.47,585988.0,206340699.04,-2.77,qfq
000816.SZ,2025-11-19,3.52,3.57,3.62,3.52,615906.0,219764145.07,1.71,qfq
000816.SZ,2025-11-20,3.55,3.58,3.68,3.52,711951.0,256039062.11,0.28,qfq
000816.SZ,2025-11-21,3.53,3.44,3.61,3.43,805393.0,283507576.46,-3.91,qfq
000816.SZ,2025-11-24,3.48,3.46,3.53,3.4,512892.0,177794556.4,0.58,qfq
000816.SZ,2025-11-25,3.48,3.57,3.6,3.46,671931.0,238241404.94,3.18,qfq
000816.SZ,2025-11-26,3.58,3.51,3.6,3.5,494854.0,175881226.68,-1.68,qfq
000816.SZ,2025-11-27,3.5,3.49,3.53,3.44,371540.0,129738090.47,-0.57,qfq
000816.SZ,2025-11-28,3.5,3.58,3.59,3.47,484491.0,171520766.63,2.58,qfq
000816.SZ,2025-12-01,3.58,3.94,3.94,3.58,1033427.0,401991130.92,10.06,qfq
000816.SZ,2025-12-02,3.9,3.85,3.91,3.76,2372194.0,907372297.54,-2.28,qfq
000816.SZ,2025-12-03,3.89,3.82,3.94,3.79,1407916.0,541213887.2,-0.78,qfq
000816.SZ,2025-12-04,3.92,3.8,4.06,3.78,1711878.0,665080130.12,-0.52,qfq
000816.SZ,2025-12-05,3.77,3.84,3.88,3.73,1218430.0,464884291.64,1.05,qfq
000816.SZ,2025-12-08,3.91,3.92,3.98,3.85,1186721.0,463589703.62,2.08,qfq
000816.SZ,2025-12-09,3.89,3.88,3.92,3.84,771405.0,299606463.82,-1.02,qfq
000816.SZ,2025-12-10,3.88,4.04,4.11,3.88,1897470.0,760604303.72,4.12,qfq
000816.SZ,2025-12-11,4.02,3.8,4.06,3.79,1477454.0,576803503.96,-5.94,qfq
000816.SZ,2025-12-12,3.84,3.95,4.18,3.84,2257391.0,908425289.31,3.95,qfq
000816.SZ,2025-12-15,3.99,3.99,4.05,3.89,1527860.0,605465899.28,1.01,qfq
000816.SZ,2025-12-16,3.94,3.82,3.99,3.77,1155604.0,444887345.96,-4.26,qfq
000816.SZ,2025-12-17,3.9,3.45,3.94,3.44,1983926.0,703018094.49,-9.69,qfq
000816.SZ,2025-12-18,3.34,3.42,3.55,3.33,1015908.0,351251250.02,-0.87,qfq
000816.SZ,2025-12-19,3.41,3.58,3.64,3.34,1295493.0,453517397.17,4.68,qfq
000816.SZ,2025-12-22,3.59,3.72,3.74,3.58,1108810.0,406969406.62,3.91,qfq
000816.SZ,2025-12-23,3.71,3.66,3.73,3.57,862971.0,314490150.61,-1.61,qfq
000816.SZ,2025-12-24,3.67,3.76,3.97,3.62,989181.0,375007333.44,2.73,qfq
000816.SZ,2025-12-25,3.74,3.81,3.84,3.69,768247.0,289930138.13,1.33,qfq
000816.SZ,2025-12-26,3.87,3.87,3.91,3.81,1055208.0,407708996.98,1.57,qfq
000816.SZ,2025-12-29,3.86,3.89,3.91,3.78,828009.0,317641515.56,0.52,qfq
000816.SZ,2025-12-30,3.85,3.88,4.28,3.75,2142805.0,846954989.08,-0.26,qfq
000816.SZ,2025-12-31,3.78,3.68,3.84,3.6,1541062.0,570069138.04,-5.15,qfq
000816.SZ,2026-01-05,3.68,3.6,3.74,3.57,976768.0,352917054.75,-2.17,qfq
000816.SZ,2026-01-06,3.62,3.68,3.74,3.62,928495.0,342990297.71,2.22,qfq
000816.SZ,2026-01-07,3.68,3.64,3.71,3.62,710180.0,259483089.0,-1.09,qfq
000816.SZ,2026-01-08,3.62,3.68,3.73,3.61,688900.0,253426324.45,1.1,qfq
000816.SZ,2026-01-09,3.66,3.7,3.71,3.64,621478.0,228819171.67,0.54,qfq
000816.SZ,2026-01-12,3.69,3.74,3.76,3.69,764741.0,284850231.72,1.08,qfq
000816.SZ,2026-01-13,3.75,3.66,3.78,3.64,818528.0,303187314.5,-2.14,qfq
000816.SZ,2026-01-14,3.65,3.66,3.73,3.62,893546.0,327916733.6,0.0,qfq
000816.SZ,2026-01-15,3.64,3.73,3.81,3.62,1018642.0,379028209.07,1.91,qfq
000816.SZ,2026-01-16,3.75,3.73,3.84,3.71,914221.0,344869506.92,0.0,qfq
000816.SZ,2026-01-19,3.7,3.86,3.87,3.68,1031674.0,390628654.5,3.49,qfq
000816.SZ,2026-01-20,3.85,3.87,3.92,3.81,843116.0,325773230.94,0.26,qfq
000816.SZ,2026-01-21,3.86,3.96,3.97,3.85,946582.0,371731319.64,2.33,qfq
000816.SZ,2026-01-22,3.96,4.0,4.04,3.93,1044084.0,415523273.08,1.01,qfq
000816.SZ,2026-01-23,4.0,4.02,4.03,3.97,948449.0,379341451.79,0.5,qfq
000816.SZ,2026-01-26,4.06,4.08,4.42,4.06,2812584.0,1189680548.72,1.49,qfq
000816.SZ,2026-01-27,4.07,4.17,4.23,4.04,1831790.0,758667291.96,2.21,qfq
000816.SZ,2026-01-28,4.12,4.26,4.37,4.11,1779033.0,753798723.83,2.16,qfq
000816.SZ,2026-01-29,4.3,4.12,4.37,4.07,1786547.0,746376669.95,-3.29,qfq
000816.SZ,2026-01-30,4.03,4.03,4.23,3.96,1794493.0,731394808.06,-2.18,qfq
