ts_code,trade_date,open,high,low,close,volume,amount,pct_chg
002202.SZ,2025-06-05,9.26,9.29,9.11,9.16,241840,225160162.35,-0.76
002202.SZ,2025-06-06,9.16,9.24,9.13,9.2,171456,159986714.7,0.44
002202.SZ,2025-06-09,9.2,9.48,9.2,9.32,489269,465192495.35,1.3
002202.SZ,2025-06-10,9.33,9.37,9.07,9.13,314339,293370015.39,-2.04
002202.SZ,2025-06-11,9.13,9.39,9.11,9.38,403074,381010048.88,2.74
002202.SZ,2025-06-12,9.37,9.4,9.28,9.36,255793,242734775.53,-0.21
002202.SZ,2025-06-13,9.34,9.54,9.26,9.46,668388,641810798.02,1.07
002202.SZ,2025-06-16,9.62,10.11,9.62,9.96,1031089,1039517777.5,5.29
002202.SZ,2025-06-17,10.0,10.11,9.89,9.91,533365,538798692.07,-0.5
002202.SZ,2025-06-18,9.9,10.06,9.81,10.0,362145,365744541.84,0.91
002202.SZ,2025-06-19,10.02,10.08,9.67,9.73,497101,494736679.49,-2.7
002202.SZ,2025-06-20,9.73,9.79,9.61,9.66,271447,266417040.88,-0.72
002202.SZ,2025-06-23,9.66,9.85,9.58,9.82,457075,452008236.47,1.66
002202.SZ,2025-06-24,9.82,9.93,9.78,9.87,425210,425279994.08,0.51
002202.SZ,2025-06-25,9.91,10.06,9.77,10.02,480719,487411068.26,1.52
002202.SZ,2025-06-26,9.96,10.13,9.96,10.05,398576,406520626.28,0.3
002202.SZ,2025-06-27,10.04,10.13,9.97,10.09,385916,393361160.34,0.4
002202.SZ,2025-06-30,10.1,10.21,10.07,10.11,304826,313058683.36,0.2
002202.SZ,2025-07-01,10.09,10.19,10.05,10.18,327526,336465604.35,0.69
002202.SZ,2025-07-02,10.34,10.4,10.09,10.12,434291,448511924.0,-0.59
002202.SZ,2025-07-03,10.11,10.16,9.97,10.02,372267,378645603.43,-0.99
002202.SZ,2025-07-04,10.03,10.04,9.74,9.75,497842,495485545.19,-2.69
002202.SZ,2025-07-07,9.75,9.83,9.71,9.77,264085,261230904.04,0.21
002202.SZ,2025-07-08,9.78,10.08,9.76,10.08,472657,478998244.77,3.17
002202.SZ,2025-07-09,10.37,10.61,10.04,10.06,538558,557280543.02,-0.2
002202.SZ,2025-07-10,10.02,10.06,9.92,9.97,319536,322889294.25,-0.89
002202.SZ,2025-07-11,9.84,9.88,9.63,9.81,438568,434677175.59,-1.6
002202.SZ,2025-07-14,9.84,9.88,9.74,9.74,317103,314863357.26,-0.71
002202.SZ,2025-07-15,9.75,9.78,9.56,9.6,339288,331690596.09,-1.44
002202.SZ,2025-07-16,9.61,9.67,9.54,9.58,263896,256588093.54,-0.21
002202.SZ,2025-07-17,9.58,9.62,9.52,9.61,267613,259794030.71,0.31
002202.SZ,2025-07-18,9.64,9.84,9.58,9.77,455686,448758039.58,1.66
002202.SZ,2025-07-21,9.9,9.9,9.79,9.83,395917,395014658.14,0.61
002202.SZ,2025-07-22,9.86,9.91,9.75,9.91,402359,401853931.53,0.81
002202.SZ,2025-07-23,9.92,9.95,9.74,9.75,353867,352333838.57,-1.61
002202.SZ,2025-07-24,9.79,9.83,9.7,9.83,279403,276930688.44,0.82
002202.SZ,2025-07-25,9.85,9.85,9.72,9.73,300393,297591023.4,-1.02
002202.SZ,2025-07-28,9.72,9.78,9.62,9.72,276872,272506007.91,-0.1
002202.SZ,2025-07-29,9.69,9.72,9.59,9.69,214922,210236145.61,-0.31
002202.SZ,2025-07-30,9.88,10.15,9.68,9.72,683017,686519815.41,0.31
002202.SZ,2025-07-31,9.71,9.76,9.45,9.49,503194,488678088.02,-2.37
002202.SZ,2025-08-01,9.46,9.73,9.44,9.6,396117,387191676.11,1.16
002202.SZ,2025-08-04,9.57,9.58,9.44,9.49,307247,295541275.2,-1.15
